,id,trait,sample_size,nsnp,year,consortium,author,note,group_name,mr,sex,pmid,priority,population,unit,build,category,subcategory,ontology,ncase,ncontrol,sd
12679,ieu-a-52,Hip circumference,100384,2215107,2015,GIANT,Shungin D,NA,public,1,Males,25673412,5,Mixed,SD (cm),HG19/GRCh37,Risk factor,Anthropometric,NA,NA,NA,8.4548
12687,ukb-d-G6_SLEEPAPNO,Sleep apnoea,361194,10649729,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,2249,358945,NA
12705,ukb-b-10415,Illnesses of father: None of the above (group 2),407392,9851867,2018,MRC-IEU,Ben Elsworth,20107#101: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,303978,103414,NA
12709,ukb-b-13352,Vascular/heart problems diagnosed by doctor: None of the above,461880,9851867,2018,MRC-IEU,Ben Elsworth,6150#100: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,325118,136762,NA
12716,ukb-b-18798,"Type of cancer: ICD10: C34.1 Upper lobe, bronchus or lung",463010,9851867,2018,MRC-IEU,Ben Elsworth,40006#C341: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1002,462008,NA
12727,ukb-b-1511,Operative procedures - main OPCS: H20.1 Fibreoptic endoscopic snare resection of lesion of colon,463010,9851867,2018,MRC-IEU,Ben Elsworth,41200#H201: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,5243,457767,NA
12751,ieu-a-49,Hip circumference,213038,2559739,2015,GIANT,Shungin D,NA,public,1,Males and Females,25673412,2,European,SD (cm),HG19/GRCh37,Risk factor,Anthropometric,NA,NA,NA,8.4548
12757,ukb-b-18009,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Blood pressure medication",249710,9851867,2018,MRC-IEU,Ben Elsworth,6153#2: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,43244,206466,NA
12758,ukb-b-13556,Red wine intake,64949,9851867,2018,MRC-IEU,Ben Elsworth,100590: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Categorical Ordered,NA,NA,NA,NA,NA
12759,ukb-b-8875,Heel bone mineral density (BMD),265627,9851867,2018,MRC-IEU,Ben Elsworth,3148: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Continuous,NA,NA,NA,NA,NA
12768,ukb-b-5779,Alcohol intake frequency.,462346,9851867,2018,MRC-IEU,Ben Elsworth,1558: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Categorical Ordered,NA,NA,NA,NA,NA
12793,ukb-b-13978,Average monthly intake of other alcoholic drinks,34317,9851867,2018,MRC-IEU,Ben Elsworth,4462: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Categorical Ordered,NA,NA,NA,NA,NA
12796,ieu-a-1136,ER- Breast cancer (iCOGS),50225,10680257,2017,BCAC,Michailidou K,NA,public,1,Females,29059683,1,European,log odds,HG19/GRCh37,Disease,Cancer,NA,7333,42892,NA
12803,ukb-b-20321,Average monthly beer plus cider intake,34243,9851867,2018,MRC-IEU,Ben Elsworth,4429: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Categorical Ordered,NA,NA,NA,NA,NA
12818,met-d-S_HDL_TG,Triglycerides in small HDL,114999,12321875,2020,NA,Borges CM,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Continuous,NA,NA,NA,NA,NA
12825,ukb-b-7428,Diagnoses - main ICD10: N63 Unspecified lump in breast,463010,9851867,2018,MRC-IEU,Ben Elsworth,41202#N63: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1481,461529,NA
12834,ebi-a-GCST004132,Crohn's disease,40266,9457998,2017,NA,de Lange KM,NA,public,1,NA,28067908,0,Mixed,logOR,HG19/GRCh37,NA,NA,NA,12194,28072,NA
12838,ukb-a-442,Blood clot  DVT  bronchitis  emphysema  asthma  rhinitis  eczema  allergy diagnosed by doctor: None of the above,336782,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,228530,108252,NA
12854,ukb-b-17848,"Heel quantitative ultrasound index (QUI), manual entry",40613,9851867,2018,MRC-IEU,Ben Elsworth,3083: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Continuous,NA,NA,NA,NA,NA
12858,ukb-b-14211,"Non-cancer illness code, self-reported: other neurological problem",462933,9851867,2018,MRC-IEU,Ben Elsworth,20002#1434: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1900,461033,NA
12870,ukb-b-9139,Reason for glasses/contact lenses: For a 'lazy' eye or an eye with poor vision since childhood (called 'amblyopia'),460536,9851867,2018,MRC-IEU,Ben Elsworth,6147#6: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,3745,456791,NA
12875,ukb-b-16124,Rose wine intake,64949,9851867,2018,MRC-IEU,Ben Elsworth,100630: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Categorical Ordered,NA,NA,NA,NA,NA
12876,ukb-d-N85,"Diagnoses - main ICD10: N85 Other noninflammatory disorders of uterus, except cervix",361194,9971554,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,1489,359705,NA
12899,ukb-b-12357,PCT responsible for patient data: BRADFORD AND AIREDALE TEACHING PCT,463010,9851867,2018,MRC-IEU,Ben Elsworth,41229#5NY: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,3229,459781,NA
12910,ukb-b-15527,Operation code: squint correction,462933,9851867,2018,MRC-IEU,Ben Elsworth,20004#1491: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,6117,456816,NA
12912,ukb-b-17462,"Diagnoses - secondary ICD10: E78.5 Hyperlipidaemia, unspecified",463010,9851867,2018,MRC-IEU,Ben Elsworth,41204#E785: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,3439,459571,NA
12921,ukb-b-11664,"Diagnoses - secondary ICD10: R00.1 Bradycardia, unspecified",463010,9851867,2018,MRC-IEU,Ben Elsworth,41204#R001: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1254,461756,NA
12923,ukb-a-251,Overall health rating,336020,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,NA,NA,NA
12926,ukb-d-C43,Diagnoses - main ICD10: C43 Malignant melanoma of skin,361194,10235188,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,1672,359522,NA
12933,ukb-b-6652,Treatment speciality of consultant (recoded): Respiratory Medicine,443925,9851867,2018,MRC-IEU,Ben Elsworth,41246#2470: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1471,442454,NA
12955,met-d-M_LDL_PL_pct,Phospholipids to total lipids ratio in medium LDL,114155,12321875,2020,NA,Borges CM,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Continuous,NA,NA,NA,NA,NA
12972,ukb-b-970,Diagnoses - secondary ICD10: E11.9 Without complications,463010,9851867,2018,MRC-IEU,Ben Elsworth,41204#E119: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,12045,450965,NA
12983,ukb-b-19462,Operative procedures - secondary OPCS: Y73.1 Cardiopulmonary bypass,463010,9851867,2018,MRC-IEU,Ben Elsworth,41210#Y731: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1420,461590,NA
12985,ukb-b-11361,"ECG, heart rate",68160,9851867,2018,MRC-IEU,Ben Elsworth,5983: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Continuous,NA,NA,NA,NA,NA
12999,met-c-932,Triglycerides in small VLDL,21558,11859725,2016,NA,Kettunen,S.VLDL.TG; SD value comes from the original untransformed distribution of the ERF cohort,public,1,Males and Females,27005778,1,European,SD,HG19/GRCh37,Metabolites,Lipid,NA,NA,NA,0.22
13006,ukb-b-10002,Manic/hyper symptoms: All of the above,31317,9851867,2018,MRC-IEU,Ben Elsworth,6156#15: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,3177,28140,NA
13010,ukb-b-10097,Operation code: skin operation or plastic surgery,462933,9851867,2018,MRC-IEU,Ben Elsworth,20004#1474: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,3976,458957,NA
13025,ukb-a-221,Illnesses of siblings: Stroke,259921,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,8481,252005,NA
13038,ukb-b-14609,Treatment/medication code: metformin,462933,9851867,2018,MRC-IEU,Ben Elsworth,20003#1140884600: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,11552,451381,NA
13041,ukb-b-12474,Operation code: stomach surgery,462933,9851867,2018,MRC-IEU,Ben Elsworth,20004#1448: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,2717,460216,NA
13051,ukb-b-8416,"Type of cancer: ICD10: C44.9 Malignant neoplasm of skin, unspecified",463010,9851867,2018,MRC-IEU,Ben Elsworth,40006#C449: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,3372,459638,NA
13058,ukb-b-7128,Ever had cervical smear test,250465,9851867,2018,MRC-IEU,Ben Elsworth,2694: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,245275,5190,NA
13061,ukb-d-20417,"Tense, sore, or aching muscles during worst period of anxiety",33301,13540400,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,12996,20305,NA
13066,met-d-Ile,Isoleucine,115078,12321875,2020,NA,Borges CM,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Continuous,NA,NA,NA,NA,NA
13076,ieu-a-73,Waist-to-hip ratio,212244,2560782,2015,GIANT,Shungin D,Effect allele frequecies are missing,public,1,Males and Females,25673412,2,European,SD,HG19/GRCh37,Risk factor,Anthropometric,NA,NA,NA,0.076079409
13081,ukb-a-88,Non-cancer illness code  self-reported: ankylosing spondylitis,337159,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,968,336191,NA
13085,ukb-b-1996,Salad / raw vegetable intake,435435,9851867,2018,MRC-IEU,Ben Elsworth,1299: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Categorical Ordered,NA,NA,NA,NA,NA
13095,ukb-b-11862,Treatment/medication code: beconase 50micrograms nasal spray,462933,9851867,2018,MRC-IEU,Ben Elsworth,20003#1140876136: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,3039,459894,NA
13097,ukb-a-80,Non-cancer illness code  self-reported: retinal detachment,337159,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,1140,336019,NA
13108,ieu-a-1003,Leptin,32161,2473865,2016,NA,Kilpelainen,Effect allele frequencies are missing,public,1,Males and Females,26833098,2,European,log ng/ml,HG19/GRCh37,Risk factor,Hormone,NA,NA,NA,NA
13115,ukb-b-3751,Spirits intake,64949,9851867,2018,MRC-IEU,Ben Elsworth,100730: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Categorical Ordered,NA,NA,NA,NA,NA
13138,ukb-b-12397,"Diagnoses - main ICD10: H26.9 Cataract, unspecified",463010,9851867,2018,MRC-IEU,Ben Elsworth,41202#H269: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,8890,454120,NA
13142,ukb-b-4075,Whole egg intake,64949,9851867,2018,MRC-IEU,Ben Elsworth,102940: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Categorical Ordered,NA,NA,NA,NA,NA
13150,ebi-a-GCST004614,Granulocyte count,169822,29165174,2016,NA,Astle WJ,NA,public,1,NA,27863252,0,European,NA,HG19/GRCh37,NA,NA,NA,NA,NA,NA
13153,ukb-a-174,Treatment/medication code: letrozole,337159,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,208,336951,NA
13176,ukb-b-13775,PCT responsible for patient data: TRAFFORD PCT,463010,9851867,2018,MRC-IEU,Ben Elsworth,41229#5NR: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,2855,460155,NA
13177,ukb-d-OTHER_ILD_CVD_COMORB,Other ILD-related CVD-co-morbidities,361194,10837503,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,2507,358687,NA
13183,ukb-a-481,Types of transport used (excluding work): Cycle,335650,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,23918,311732,NA
13194,ukb-d-22601_23113399,"Job coding: higher education teaching professional, university lecturer/professor (including college/university head/vice chancellor)",89866,10920723,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,2631,87235,NA
13204,ukb-a-28,Average weekly beer plus cider intake,241447,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,NA,NA,NA
13210,ukb-b-6666,Operative procedures - main OPCS: A55.9 Unspecified diagnostic spinal puncture,463010,9851867,2018,MRC-IEU,Ben Elsworth,41200#A559: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,2965,460045,NA
13216,ukb-b-1425,Treatment/medication code: ginkgo forte tablet,462933,9851867,2018,MRC-IEU,Ben Elsworth,20003#1140911734: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,2621,460312,NA
13222,ieu-a-798,Myocardial infarction,171875,9289492,2015,CARDIoGRAMplusC4D,Nikpay,NA,public,1,Males and Females,26343387,1,Mixed,log odds,HG19/GRCh37,Disease,Cardiovascular,NA,43676,128199,NA
13223,ebi-a-GCST005348,Total body bone mineral density,56284,16162733,2018,NA,Medina-Gomez C,NA,public,1,NA,29304378,0,European,NA,HG19/GRCh37,NA,NA,NA,NA,NA,NA
13231,ukb-a-539,Diagnoses - main ICD10: I84 Haemorrhoids,337199,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,8190,329009,NA
13236,ukb-b-17587,"Diagnoses - main ICD10: T81.0 Haemorrhage and haematoma complicating a procedure, not elsewhere classified",463010,9851867,2018,MRC-IEU,Ben Elsworth,41202#T810: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1896,461114,NA
13256,ukb-a-515,Frequency of walking for pleasure in last 4 weeks,240924,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,NA,NA,NA
13275,ebi-a-GCST004634,Basophil percentage of granulocytes,170223,29164596,2016,NA,Astle WJ,NA,public,1,NA,27863252,0,European,NA,HG19/GRCh37,NA,NA,NA,NA,NA,NA
13282,ieu-a-974,Body mass index,171977,2494613,2015,GIANT,Locke AE,NA,public,1,Females,25673413,4,European,SD (kg/m^2),HG19/GRCh37,Risk factor,Anthropometric,NA,NA,NA,4.77
13287,ieu-a-82,Waist-to-hip ratio,99076,2146958,2015,GIANT,Shungin D,Adjusted for BMI,public,1,Males,25673412,13,Mixed,SD,HG19/GRCh37,Risk factor,Anthropometric,NA,NA,NA,0.07416015
13288,ukb-b-17102,External causes: Y83.6 Removal of other organ (partial) (total),463010,9851867,2018,MRC-IEU,Ben Elsworth,41201#Y836: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,2611,460399,NA
13289,ebi-a-GCST005531,Multiple sclerosis,38582,132089,2013,NA,Beecham AH,beta+se converted from OR+CI; ,public,1,NA,24076602,0,European,logOR,HG19/GRCh37,NA,NA,NA,14498,24091,NA
13296,ukb-b-2954,Methods of discharge from hospital (recoded): Discharged on clinical advice/consent: Transfer within provider,462236,9851867,2018,MRC-IEU,Ben Elsworth,41250#1002: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,5384,456852,NA
13308,ukb-b-18372,Diagnoses - main ICD10: N20.0 Calculus of kidney,463010,9851867,2018,MRC-IEU,Ben Elsworth,41202#N200: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,2186,460824,NA
13313,met-d-MUFA,Monounsaturated fatty acids,115078,12321875,2020,NA,Borges CM,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Continuous,NA,NA,NA,NA,NA
13339,ukb-a-315,Age when periods started (menarche),176008,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,NA,NA,NA
13345,met-d-L_LDL_PL_pct,Phospholipids to total lipids ratio in large LDL,114155,12321875,2020,NA,Borges CM,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Continuous,NA,NA,NA,NA,NA
13348,ukb-a-495,Mineral and other dietary supplements: Calcium,336314,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,22047,314267,NA
13361,ukb-b-4549,Drive faster than motorway speed limit,418299,9851867,2018,MRC-IEU,Ben Elsworth,1100: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Categorical Ordered,NA,NA,NA,NA,NA
13363,ieu-a-67,Waist circumference,231353,2546074,2015,GIANT,Shungin D,Adjusted for BMI; effect allele frequecies are missing,public,1,Males and Females,25673412,10,European,SD (cm),HG19/GRCh37,Risk factor,Anthropometric,NA,NA,NA,12.52
